chromosome	IDs	expression
chr6	chr6_41367874	intergenic
chr6	chr6_41375512	intergenic
chr6	chr6_41377748	intergenic
chr6	chr6_41381510	intergenic
chr6	chr6_41384972	intergenic
chr6	chr6_41385582	intergenic
chr6	chr6_41387136	intergenic
chr6	chr6_41400429	intergenic
chr6	chr6_41411473	intergenic
chr6	chr6_41416436	intergenic
chr6	chr6_41423893	intergenic
chr6	chr6_41424359	intergenic
chr6	chr6_41426670	intergenic
chr6	chr6_41428812	intergenic
chr6	chr6_41429755	intergenic
chr6	chr6_41430933	intergenic
chr6	chr6_41440273	intergenic
chr6	chr6_41443362	intergenic
chr6	chr6_41452245	intergenic
chr6	chr6_41453398	intergenic
chr6	chr6_41456342	intergenic
chr6	chr6_41461211	intergenic
chr6	chr6_41464532	intergenic
chr6	chr6_41474349	intergenic
chr6	chr6_41474825	intergenic
chr6	chr6_41475624	intergenic
chr6	chr6_41477032	intergenic
chr6	chr6_41484870	intergenic
chr6	chr6_41488926	intergenic
chr6	chr6_41494104	intergenic
chr6	chr6_41495008	intergenic
chr6	FOXP4	stable
chr6	chr6_41518386	intergenic
chr6	chr6_41523604	intergenic
chr6	chr6_41524592	intergenic
chr6	chr6_41527017	intergenic
chr6	chr6_41532230	intergenic
chr6	chr6_41533942	intergenic
chr6	chr6_41539411	intergenic
chr6	chr6_41540828	intergenic
chr6	chr6_41541264	intergenic
chr6	chr6_41542152	intergenic
chr6	chr6_41549064	intergenic
chr6	chr6_41559380	intergenic
chr6	chr6_41560113	intergenic
chr6	MIR4641	NA
chr6	chr6_41571159	intergenic
chr6	chr6_41575334	intergenic
chr6	chr6_41577759	intergenic
chr6	chr6_41578522	intergenic
chr6	chr6_41592728	intergenic
chr6	chr6_41593142	intergenic
chr6	chr6_41600179	intergenic
chr6	MDFI	stable
chr6	chr6_41615823	intergenic
chr6	chr6_41624204	intergenic
chr6	chr6_41626996	intergenic
chr6	chr6_41628345	intergenic
chr6	chr6_41632048	intergenic
chr6	chr6_41632956	intergenic
chr6	chr6_41640879	intergenic
chr6	chr6_41647207	intergenic
chr6	chr6_41661266	intergenic
chr6	chr6_41662177	intergenic
chr6	chr6_41666452	intergenic
chr6	chr6_41676484	intergenic
chr6	chr6_41684308	intergenic
chr6	TFEB	stable
chr6	chr6_41715709	intergenic
chr6	PGC	stable
chr6	chr6_41722608	intergenic
chr6	chr6_41723918	intergenic
chr6	chr6_41725077	intergenic
chr6	chr6_41731446	intergenic
chr6	chr6_41731637	intergenic
chr6	chr6_41736495	intergenic
chr6	chr6_41742828	intergenic
chr6	chr6_41745554	intergenic
chr6	chr6_41745685	intergenic
chr6	PRICKLE4	stable
chr6	FRS3	stable
chr6	chr6_41755425	intergenic
chr6	chr6_41757543	intergenic
chr6	chr6_41758635	intergenic
chr6	chr6_41760631	intergenic
chr6	chr6_41762446	intergenic
chr6	chr6_41766684	intergenic
chr6	chr6_41768342	intergenic
chr6	chr6_41769198	intergenic
chr6	chr6_41770802	intergenic
chr6	chr6_41786199	intergenic
chr6	chr6_41796283	intergenic
chr6	SNORA8.1	NA
chr6	chr6_41801746	intergenic
chr6	chr6_41809093	intergenic
chr6	chr6_41815622	intergenic
chr6	chr6_41824542	intergenic
chr6	chr6_41824626	intergenic
chr6	chr6_41825011	intergenic
chr6	chr6_41837766	intergenic
chr6	chr6_41839986	intergenic
chr6	chr6_41841814	intergenic
chr6	chr6_41849664	intergenic
chr6	chr6_41851492	intergenic
chr6	chr6_41859679	intergenic
chr6	chr6_41859760	intergenic
chr6	chr6_41860653	intergenic
chr6	chr6_41860760	intergenic
chr6	USP49	up
chr6	chr6_41876034	intergenic
chr6	chr6_41876472	intergenic
chr6	chr6_41883697	intergenic
chr6	MED20	up
chr6	chr6_41890035	intergenic
chr6	chr6_41895630	intergenic
chr6	chr6_41898323	intergenic
chr6	chr6_41900894	intergenic
chr6	chr6_41901465	intergenic
chr6	chr6_41908042	intergenic
chr6	chr6_41911125	intergenic
chr6	chr6_41917770	intergenic
chr6	chr6_41918763	intergenic
chr6	chr6_41928476	intergenic
chr6	chr6_41928664	intergenic
chr6	chr6_41931983	intergenic
chr6	chr6_41933947	intergenic
chr6	chr6_41934535	intergenic
chr6	chr6_41936051	intergenic
chr6	chr6_41936873	intergenic
chr6	chr6_41948684	intergenic
chr6	chr6_41952985	intergenic
chr6	chr6_41955174	intergenic
chr6	chr6_41959555	intergenic
chr6	chr6_41961775	intergenic
chr6	chr6_41967743	intergenic
chr6	chr6_41968990	intergenic
chr6	chr6_41978109	intergenic
chr6	chr6_41980559	intergenic
chr6	U6.466	NA
chr6	chr6_41989728	intergenic
chr6	chr6_41996469	intergenic
chr6	chr6_42005412	intergenic
chr6	chr6_42007384	intergenic
chr6	chr6_42009484	intergenic
chr6	CCND3	stable
chr6	chr6_42025338	intergenic
chr6	chr6_42034288	intergenic
chr6	chr6_42035795	intergenic
chr6	chr6_42040984	intergenic
chr6	chr6_42047232	intergenic
chr6	chr6_42048653	intergenic
chr6	chr6_42048826	intergenic
chr6	chr6_42054625	intergenic
chr6	chr6_42055982	intergenic
chr6	chr6_42056860	intergenic
chr6	chr6_42061967	intergenic
chr6	chr6_42066243	intergenic
chr6	chr6_42068873	intergenic
chr6	chr6_42070497	intergenic
chr6	chr6_42079508	intergenic
chr6	chr6_42082087	intergenic
chr6	chr6_42084744	intergenic
chr6	chr6_42092924	intergenic
chr6	chr6_42096870	intergenic
chr6	chr6_42097876	intergenic
chr6	chr6_42105049	intergenic
chr6	chr6_42107357	intergenic
chr6	chr6_42111787	intergenic
chr6	GUCA1A	stable
chr6	chr6_42129539	intergenic
chr6	chr6_42138269	intergenic
chr6	chr6_42139818	intergenic
chr6	chr6_42140162	intergenic
chr6	chr6_42148678	intergenic
chr6	chr6_42152811	intergenic
chr6	chr6_42158305	intergenic
chr6	GUCA1B	down
chr6	chr6_42166092	intergenic
chr6	chr6_42170730	intergenic
chr6	chr6_42170742	intergenic
chr6	chr6_42175344	intergenic
chr6	chr6_42187668	intergenic
chr6	chr6_42189620	intergenic
chr6	chr6_42192894	intergenic
chr6	chr6_42193047	intergenic
chr6	chr6_42193610	intergenic
chr6	chr6_42194066	intergenic
chr6	chr6_42195739	intergenic
chr6	chr6_42203603	intergenic
chr6	chr6_42205491	intergenic
chr6	chr6_42207774	intergenic
chr6	chr6_42215509	intergenic
chr6	chr6_42216841	intergenic
chr6	chr6_42221129	intergenic
chr6	chr6_42231167	intergenic
chr6	chr6_42231769	intergenic
chr6	chr6_42236925	intergenic
chr6	chr6_42244210	intergenic
chr6	chr6_42246348	intergenic
chr6	chr6_42247894	intergenic
chr6	chr6_42260504	intergenic
chr6	chr6_42270158	intergenic
chr6	chr6_42274200	intergenic
chr6	chr6_42275654	intergenic
chr6	chr6_42276774	intergenic
chr6	chr6_42281946	intergenic
chr6	chr6_42284113	intergenic
chr6	chr6_42286407	intergenic
chr6	chr6_42287247	intergenic
chr6	chr6_42290295	intergenic
chr6	chr6_42293787	intergenic
chr6	chr6_42294330	intergenic
chr6	chr6_42294443	intergenic
chr6	chr6_42295394	intergenic
chr6	chr6_42308276	intergenic
chr6	chr6_42311701	intergenic
chr6	chr6_42314145	intergenic
chr6	chr6_42318807	intergenic
chr6	chr6_42321677	intergenic
chr6	chr6_42325496	intergenic
chr6	chr6_42325582	intergenic
chr6	chr6_42326848	intergenic
chr6	chr6_42330170	intergenic
chr6	chr6_42336269	intergenic
chr6	chr6_42349489	intergenic
chr6	chr6_42350524	intergenic
chr6	chr6_42351327	intergenic
chr6	chr6_42357584	intergenic
chr6	chr6_42357724	intergenic
chr6	chr6_42358225	intergenic
chr6	chr6_42365445	intergenic
chr6	U3.44	NA
chr6	chr6_42383771	intergenic
chr6	chr6_42387357	intergenic
chr6	chr6_42392176	intergenic
chr6	chr6_42398909	intergenic
chr6	chr6_42399579	intergenic
chr6	chr6_42400002	intergenic
chr6	chr6_42400950	intergenic
chr6	chr6_42404644	intergenic
chr6	chr6_42408247	intergenic
chr6	chr6_42410351	intergenic
chr6	chr6_42411068	intergenic
chr6	chr6_42416689	intergenic
chr6	chr6_42417649	intergenic
chr6	chr6_42418901	intergenic
chr6	TRERF1	stable
chr6	chr6_42421219	intergenic
chr6	chr6_42422034	intergenic
chr6	chr6_42422283	intergenic
chr6	chr6_42438453	intergenic
chr6	chr6_42439827	intergenic
chr6	chr6_42447709	intergenic
chr6	chr6_42451909	intergenic
chr6	chr6_42452350	intergenic
chr6	chr6_42459005	intergenic
chr6	snoU13.158	NA
chr6	chr6_42476721	intergenic
chr6	chr6_42476816	intergenic
chr6	chr6_42484516	intergenic
chr6	chr6_42492648	intergenic
chr6	chr6_42503978	intergenic
chr6	chr6_42506029	intergenic
chr6	chr6_42506257	intergenic
chr6	chr6_42512949	intergenic
chr6	chr6_42519213	intergenic
chr6	chr6_42519346	intergenic
chr6	chr6_42520746	intergenic
chr6	chr6_42520752	intergenic
chr6	chr6_42523180	intergenic
chr6	chr6_42528611	intergenic
chr6	UBR2	stable
chr6	chr6_42531855	intergenic
chr6	chr6_42539971	intergenic
chr6	chr6_42540715	intergenic
chr6	chr6_42545998	intergenic
chr6	chr6_42546927	intergenic
chr6	chr6_42555024	intergenic
chr6	chr6_42557955	intergenic
chr6	chr6_42561378	intergenic
chr6	chr6_42563532	intergenic
chr6	chr6_42571153	intergenic
chr6	chr6_42572070	intergenic
chr6	chr6_42576930	intergenic
chr6	chr6_42582212	intergenic
chr6	chr6_42587642	intergenic
chr6	chr6_42594789	intergenic
chr6	chr6_42599361	intergenic
chr6	chr6_42602809	intergenic
chr6	chr6_42604766	intergenic
chr6	chr6_42605096	intergenic
chr6	chr6_42613742	intergenic
chr6	chr6_42614982	intergenic
chr6	chr6_42617222	intergenic
chr6	chr6_42619046	intergenic
chr6	chr6_42619917	intergenic
chr6	chr6_42621707	intergenic
chr6	chr6_42623961	intergenic
chr6	chr6_42627816	intergenic
chr6	U6.455	NA
chr6	chr6_42640455	intergenic
chr6	chr6_42658231	intergenic
chr6	chr6_42659850	intergenic
chr6	chr6_42660752	intergenic
chr6	chr6_42664908	intergenic
chr6	chr6_42670141	intergenic
chr6	chr6_42678118	intergenic
chr6	PRPH2	stable
chr6	chr6_42700445	intergenic
chr6	chr6_42708854	intergenic
chr6	TBCC	down
chr6	chr6_42715996	intergenic
chr6	chr6_42721177	intergenic
chr6	chr6_42724176	intergenic
chr6	chr6_42724723	intergenic
chr6	chr6_42730159	intergenic
chr6	chr6_42731091	intergenic
chr6	chr6_42733351	intergenic
chr6	chr6_42736141	intergenic
chr6	chr6_42737134	intergenic
chr6	chr6_42740616	intergenic
chr6	chr6_42743455	intergenic
chr6	GLTSCR1L	NA
chr6	chr6_42750597	intergenic
chr6	chr6_42754206	intergenic
chr6	chr6_42755310	intergenic
chr6	chr6_42757520	intergenic
chr6	chr6_42759945	intergenic
chr6	chr6_42759978	intergenic
chr6	chr6_42761586	intergenic
chr6	chr6_42768216	intergenic
chr6	chr6_42778092	intergenic
chr6	chr6_42779673	intergenic
chr6	chr6_42780970	intergenic
chr6	chr6_42786301	intergenic
chr6	chr6_42789040	intergenic
chr6	chr6_42792080	intergenic
chr6	chr6_42798726	intergenic
chr6	chr6_42798944	intergenic
chr6	chr6_42809780	intergenic
chr6	chr6_42813496	intergenic
chr6	chr6_42817808	intergenic
chr6	chr6_42819783	intergenic
chr6	chr6_42820017	intergenic
chr6	chr6_42821003	intergenic
chr6	chr6_42825437	intergenic
chr6	chr6_42835408	intergenic
chr6	chr6_42837135	intergenic
chr6	RPL7L1	stable
chr6	chr6_42851406	intergenic
chr6	chr6_42852722	intergenic
chr6	chr6_42853873	intergenic
chr6	chr6_42859833	intergenic
chr6	chr6_42860147	intergenic
chr6	chr6_42870256	intergenic
chr6	chr6_42877092	intergenic
chr6	chr6_42882116	intergenic
chr6	chr6_42888547	intergenic
chr6	chr6_42889459	intergenic
chr6	CNPY3	down
chr6	chr6_42917041	intergenic
chr6	chr6_42919824	intergenic
chr6	chr6_42919847	intergenic
chr6	chr6_42921848	intergenic
chr6	GNMT	down
chr6	chr6_42937558	intergenic
chr6	PEX6	down
chr6	chr6_42949428	intergenic
chr6	PPP2R5D	stable
chr6	chr6_42966891	intergenic
chr6	chr6_42972877	intergenic
chr6	chr6_42972927	intergenic
chr6	chr6_42973159	intergenic
chr6	MEA1	up
chr6	chr6_42983007	intergenic
chr6	chr6_42984372	intergenic
chr6	chr6_42987343	intergenic
chr6	RRP36	stable
chr6	chr6_42991579	intergenic
chr6	chr6_42992823	intergenic
chr6	chr6_42997901	intergenic
chr6	chr6_43002168	intergenic
chr6	KLC4	down
chr6	CUL7	stable
chr6	MRPL2	stable
chr6	chr6_43031169	intergenic
chr6	PTK7	stable
chr6	chr6_43051359	intergenic
chr6	chr6_43064728	intergenic
chr6	chr6_43068867	intergenic
chr6	chr6_43072906	intergenic
chr6	chr6_43075636	intergenic
chr6	chr6_43092029	intergenic
chr6	chr6_43098254	intergenic
chr6	chr6_43110855	intergenic
chr6	chr6_43113517	intergenic
chr6	chr6_43115066	intergenic
chr6	SRF	stable
chr6	CUL9	stable
chr6	chr6_43150213	intergenic
chr6	chr6_43152343	intergenic
chr6	chr6_43156547	intergenic
chr6	chr6_43156746	intergenic
chr6	chr6_43162894	intergenic
chr6	chr6_43165219	intergenic
chr6	chr6_43165522	intergenic
chr6	chr6_43172885	intergenic
chr6	chr6_43176366	intergenic
chr6	chr6_43180742	intergenic
chr6	chr6_43180811	intergenic
chr6	chr6_43183372	intergenic
chr6	chr6_43184502	intergenic
chr6	chr6_43185141	intergenic
chr6	DNPH1	up
chr6	chr6_43223823	intergenic
chr6	chr6_43230171	intergenic
chr6	SLC22A7	stable
chr6	chr6_43270433	intergenic
chr6	CRIP3	down
chr6	chr6_43278988	intergenic
chr6	chr6_43282062	intergenic
chr6	chr6_43284562	intergenic
chr6	chr6_43285261	intergenic
chr6	chr6_43293918	intergenic
chr6	chr6_43296221	intergenic
chr6	chr6_43296401	intergenic
chr6	chr6_43301501	intergenic
chr6	chr6_43301555	intergenic
chr6	chr6_43302550	intergenic
chr6	chr6_43302898	intergenic
chr6	chr6_43303574	intergenic
chr6	chr6_43304431	intergenic
chr6	chr6_43316836	intergenic
chr6	chr6_43330347	intergenic
chr6	chr6_43331115	intergenic
chr6	ZNF318	stable
chr6	chr6_43339394	intergenic
chr6	chr6_43339914	intergenic
chr6	chr6_43344250	intergenic
chr6	chr6_43349204	intergenic
chr6	chr6_43351748	intergenic
chr6	chr6_43359831	intergenic
chr6	chr6_43372521	intergenic
chr6	chr6_43381484	intergenic
chr6	chr6_43389554	intergenic
chr6	chr6_43390441	intergenic
chr6	ABCC10	down
chr6	chr6_43407680	intergenic
chr6	chr6_43408140	intergenic
chr6	chr6_43408870	intergenic
chr6	chr6_43411863	intergenic
chr6	chr6_43412024	intergenic
chr6	DLK2	stable
chr6	chr6_43427930	intergenic
chr6	chr6_43430668	intergenic
chr6	U6.524	NA
chr6	chr6_43453413	intergenic
chr6	chr6_43453428	intergenic
chr6	chr6_43454935	intergenic
chr6	chr6_43470594	intergenic
chr6	chr6_43472299	intergenic
chr6	POLR1C	stable
chr6	YIPF3	stable
chr6	chr6_43489065	intergenic
chr6	chr6_43489952	intergenic
chr6	chr6_43491598	intergenic
chr6	chr6_43492288	intergenic
chr6	chr6_43497226	intergenic
chr6	chr6_43500183	intergenic
chr6	chr6_43505195	intergenic
chr6	SCARNA15.2	NA
chr6	chr6_43515213	intergenic
chr6	chr6_43521239	intergenic
chr6	chr6_43523122	intergenic
chr6	chr6_43526389	intergenic
chr6	chr6_43538918	intergenic
chr6	XPO5	up
chr6	chr6_43546712	intergenic
chr6	chr6_43558785	intergenic
chr6	chr6_43558935	intergenic
chr6	chr6_43562508	intergenic
chr6	chr6_43563454	intergenic
chr6	chr6_43564710	intergenic
chr6	chr6_43564722	intergenic
chr6	chr6_43568183	intergenic
chr6	chr6_43576481	intergenic
chr6	chr6_43581014	intergenic
chr6	chr6_43581637	intergenic
chr6	chr6_43587468	intergenic
chr6	GTPBP2	stable
chr6	RSPH9	stable
chr6	chr6_43619676	intergenic
chr6	chr6_43621848	intergenic
chr6	chr6_43629063	intergenic
chr6	chr6_43638739	intergenic
chr6	chr6_43640453	intergenic
chr6	chr6_43652414	intergenic
chr6	chr6_43653581	intergenic
chr6	MRPS18A	up
chr6	chr6_43655824	intergenic
chr6	chr6_43656814	intergenic
chr6	chr6_43657283	intergenic
chr6	chr6_43661645	intergenic
chr6	chr6_43662152	intergenic
chr6	chr6_43666010	intergenic
chr6	chr6_43672919	intergenic
chr6	chr6_43681999	intergenic
chr6	chr6_43684270	intergenic
chr6	chr6_43687750	intergenic
chr6	chr6_43694873	intergenic
chr6	chr6_43700405	intergenic
chr6	chr6_43701647	intergenic
chr6	chr6_43711775	intergenic
chr6	chr6_43712982	intergenic
chr6	chr6_43715586	intergenic
chr6	chr6_43716200	intergenic
chr6	chr6_43721424	intergenic
chr6	chr6_43721503	intergenic
chr6	chr6_43730522	intergenic
chr6	VEGFA	up
chr6	chr6_43743258	intergenic
chr6	chr6_43744848	intergenic
chr6	chr6_43745038	intergenic
chr6	chr6_43754587	intergenic
chr6	chr6_43760364	intergenic
chr6	chr6_43765114	intergenic
chr6	chr6_43775163	intergenic
chr6	chr6_43779981	intergenic
chr6	chr6_43783144	intergenic
chr6	chr6_43783982	intergenic
chr6	chr6_43785271	intergenic
chr6	chr6_43785436	intergenic
chr6	chr6_43787561	intergenic
chr6	chr6_43794992	intergenic
chr6	chr6_43799296	intergenic
chr6	chr6_43800703	intergenic
chr6	chr6_43804488	intergenic
chr6	chr6_43806027	intergenic
chr6	chr6_43807410	intergenic
chr6	chr6_43808579	intergenic
chr6	chr6_43813252	intergenic
chr6	chr6_43820490	intergenic
chr6	chr6_43824573	intergenic
chr6	chr6_43834443	intergenic
chr6	chr6_43842493	intergenic
chr6	chr6_43862155	intergenic
chr6	chr6_43863409	intergenic
chr6	chr6_43866443	intergenic
chr6	chr6_43870837	intergenic
chr6	chr6_43872435	intergenic
chr6	chr6_43880672	intergenic
chr6	chr6_43883836	intergenic
chr6	chr6_43884274	intergenic
chr6	chr6_43895942	intergenic
chr6	chr6_43908885	intergenic
chr6	chr6_43913930	intergenic
chr6	chr6_43934321	intergenic
chr6	chr6_43945115	intergenic
chr6	chr6_43947574	intergenic
chr6	chr6_43950203	intergenic
chr6	chr6_43952865	intergenic
chr6	chr6_43966636	intergenic
chr6	chr6_43978361	intergenic
chr6	chr6_43981515	intergenic
chr6	chr6_43995787	intergenic
chr6	chr6_44001787	intergenic
chr6	chr6_44001929	intergenic
chr6	chr6_44016017	intergenic
chr6	chr6_44016342	intergenic
chr6	chr6_44027633	intergenic
chr6	chr6_44027857	intergenic
chr6	chr6_44031357	intergenic
chr6	chr6_44035137	intergenic
chr6	chr6_44041607	intergenic
chr6	chr6_44048952	intergenic
chr6	chr6_44049427	intergenic
chr6	chr6_44057136	intergenic
chr6	chr6_44058758	intergenic
chr6	chr6_44061527	intergenic
chr6	chr6_44067666	intergenic
chr6	chr6_44068828	intergenic
chr6	chr6_44069672	intergenic
chr6	chr6_44073636	intergenic
chr6	chr6_44074894	intergenic
chr6	chr6_44084044	intergenic
chr6	TMEM63B	stable
chr6	chr6_44096221	intergenic
chr6	chr6_44099486	intergenic
chr6	chr6_44100091	intergenic
chr6	chr6_44100573	intergenic
chr6	chr6_44101511	intergenic
chr6	chr6_44114119	intergenic
chr6	chr6_44115569	intergenic
chr6	chr6_44118458	intergenic
chr6	CAPN11	stable
chr6	chr6_44128450	intergenic
chr6	chr6_44148675	intergenic
chr6	chr6_44152979	intergenic
chr6	chr6_44171425	intergenic
chr6	chr6_44175621	intergenic
chr6	SLC29A1	up
chr6	chr6_44198576	intergenic
chr6	chr6_44200920	intergenic
chr6	chr6_44205641	intergenic
chr6	HSP90AB1	up
chr6	chr6_44215575	intergenic
chr6	MIR4647	NA
chr6	chr6_44223056	intergenic
chr6	SLC35B2	stable
chr6	TMEM151B	stable
chr6	chr6_44248717	intergenic
chr6	chr6_44255617	intergenic
chr6	chr6_44263827	intergenic
chr6	TCTE1	down
chr6	chr6_44272756	intergenic
chr6	chr6_44275688	intergenic
chr6	chr6_44277381	intergenic
chr6	AARS2	stable
chr6	chr6_44288288	intergenic
chr6	chr6_44288435	intergenic
chr6	chr6_44297027	intergenic
chr6	chr6_44305880	intergenic
chr6	chr6_44307606	intergenic
chr6	chr6_44309798	intergenic
chr6	SPATS1	NA
chr6	chr6_44313068	intergenic
chr6	chr6_44313229	intergenic
chr6	chr6_44317576	intergenic
chr6	chr6_44318321	intergenic
chr6	chr6_44324807	intergenic
chr6	chr6_44332405	intergenic
chr6	CDC5L	up
chr6	chr6_44359066	intergenic
chr6	chr6_44367762	intergenic
chr6	chr6_44368789	intergenic
chr6	chr6_44378434	intergenic
chr6	chr6_44379566	intergenic
chr6	chr6_44387696	intergenic
chr6	chr6_44393016	intergenic
chr6	chr6_44397521	intergenic
chr6	chr6_44399225	intergenic
chr6	chr6_44402492	intergenic
chr6	MIR4642	stable
chr6	chr6_44404119	intergenic
chr6	chr6_44405290	intergenic
chr6	chr6_44407365	intergenic
chr6	chr6_44407832	intergenic
chr6	chr6_44413238	intergenic
chr6	chr6_44421357	intergenic
chr6	chr6_44423088	intergenic
chr6	chr6_44428399	intergenic
chr6	chr6_44430410	intergenic
chr6	chr6_44431421	intergenic
chr6	chr6_44433812	intergenic
chr6	chr6_44445221	intergenic
chr6	chr6_44452411	intergenic
chr6	chr6_44455800	intergenic
chr6	chr6_44476229	intergenic
chr6	chr6_44476536	intergenic
chr6	chr6_44482512	intergenic
chr6	chr6_44485358	intergenic
chr6	chr6_44489267	intergenic
chr6	chr6_44501172	intergenic
chr6	chr6_44592725	intergenic
chr6	chr6_44594513	intergenic
chr6	chr6_44620738	intergenic
chr6	chr6_44622203	intergenic
chr6	chr6_44625400	intergenic
chr6	chr6_44627618	intergenic
chr6	chr6_44695588	intergenic
chr6	chr6_44743022	intergenic
chr6	chr6_44754511	intergenic
chr6	chr6_44776802	intergenic
chr6	chr6_44795951	intergenic
chr6	chr6_44824449	intergenic
chr6	chr6_44827166	intergenic
chr6	chr6_44878847	intergenic
chr6	chr6_44881575	intergenic
chr6	chr6_44884019	intergenic
chr6	chr6_44884541	intergenic
chr6	chr6_44886388	intergenic
chr6	chr6_44893009	intergenic
chr6	chr6_44900122	intergenic
chr6	chr6_44900802	intergenic
chr6	chr6_44909125	intergenic
chr6	chr6_44913121	intergenic
chr6	chr6_44913679	intergenic
chr6	chr6_44918403	intergenic
chr6	chr6_44919734	intergenic
chr6	chr6_44926542	intergenic
chr6	chr6_44932337	intergenic
chr6	chr6_44952702	intergenic
chr6	chr6_44955419	intergenic
chr6	chr6_44957724	intergenic
chr6	chr6_44969938	intergenic
chr6	chr6_44997183	intergenic
chr6	chr6_45008345	intergenic
chr6	chr6_45023581	intergenic
chr6	chr6_45041162	intergenic
chr6	chr6_45050419	intergenic
chr6	chr6_45064100	intergenic
chr6	chr6_45084394	intergenic
chr6	chr6_45085955	intergenic
chr6	chr6_45093770	intergenic
chr6	chr6_45094014	intergenic
chr6	chr6_45094637	intergenic
chr6	chr6_45101279	intergenic
chr6	chr6_45107581	intergenic
chr6	chr6_45108127	intergenic
chr6	chr6_45109886	intergenic
chr6	chr6_45117868	intergenic
chr6	chr6_45118991	intergenic
chr6	chr6_45120990	intergenic
chr6	chr6_45127258	intergenic
chr6	chr6_45128855	intergenic
chr6	chr6_45130925	intergenic
chr6	chr6_45131283	intergenic
chr6	chr6_45136566	intergenic
chr6	chr6_45143541	intergenic
chr6	chr6_45145557	intergenic
chr6	chr6_45150401	intergenic
chr6	chr6_45151268	intergenic
chr6	chr6_45153286	intergenic
chr6	chr6_45153387	intergenic
chr6	chr6_45157390	intergenic
chr6	chr6_45157885	intergenic
chr6	chr6_45158112	intergenic
chr6	MIR586	NA
chr6	chr6_45166606	intergenic
chr6	chr6_45175709	intergenic
chr6	chr6_45176570	intergenic
chr6	chr6_45183563	intergenic
chr6	chr6_45189739	intergenic
chr6	chr6_45206750	intergenic
chr6	chr6_45214097	intergenic
chr6	chr6_45215997	intergenic
chr6	chr6_45221458	intergenic
chr6	chr6_45223238	intergenic
chr6	chr6_45224472	intergenic
chr6	chr6_45230757	intergenic
chr6	chr6_45238546	intergenic
chr6	chr6_45240499	intergenic
chr6	chr6_45241145	intergenic
chr6	chr6_45259926	intergenic
chr6	chr6_45265719	intergenic
chr6	chr6_45267866	intergenic
chr6	chr6_45268812	intergenic
chr6	chr6_45279109	intergenic
chr6	chr6_45290041	intergenic
chr6	chr6_45292747	intergenic
chr6	chr6_45293971	intergenic
chr6	RUNX2	stable
chr6	chr6_45296034	intergenic
chr6	chr6_45304006	intergenic
chr6	chr6_45304872	intergenic
chr6	chr6_45305044	intergenic
chr6	chr6_45306185	intergenic
chr6	chr6_45308721	intergenic
chr6	chr6_45310490	intergenic
chr6	chr6_45310941	intergenic
chr6	chr6_45311431	intergenic
chr6	chr6_45312693	intergenic
chr6	chr6_45313565	intergenic
chr6	chr6_45333060	intergenic
chr6	chr6_45338210	intergenic
chr6	SUPT3H	stable
chr6	chr6_45346093	intergenic
chr6	chr6_45355648	intergenic
chr6	chr6_45361570	intergenic
chr6	chr6_45362767	intergenic
chr6	chr6_45363835	intergenic
chr6	chr6_45366721	intergenic
chr6	chr6_45379255	intergenic
chr6	chr6_45379637	intergenic
chr6	chr6_45384831	intergenic
chr6	chr6_45385797	intergenic
chr6	chr6_45388391	intergenic
chr6	chr6_45401581	intergenic
chr6	chr6_45404493	intergenic
chr6	chr6_45407754	intergenic
chr6	chr6_45410341	intergenic
chr6	chr6_45425602	intergenic
chr6	chr6_45426712	intergenic
chr6	chr6_45432555	intergenic
chr6	chr6_45437523	intergenic
chr6	chr6_45438727	intergenic
chr6	chr6_45439805	intergenic
chr6	chr6_45442881	intergenic
chr6	chr6_45444003	intergenic
chr6	chr6_45444646	intergenic
chr6	chr6_45449417	intergenic
chr6	chr6_45457221	intergenic
chr6	chr6_45457378	intergenic
chr6	chr6_45459690	intergenic
chr6	chr6_45461178	intergenic
chr6	chr6_45462053	intergenic
chr6	chr6_45462863	intergenic
chr6	chr6_45463375	intergenic
chr6	chr6_45464310	intergenic
chr6	chr6_45467205	intergenic
chr6	chr6_45469218	intergenic
chr6	chr6_45470842	intergenic
chr6	chr6_45486289	intergenic
chr6	chr6_45488804	intergenic
chr6	chr6_45489983	intergenic
chr6	chr6_45491721	intergenic
chr6	chr6_45492184	intergenic
chr6	chr6_45496723	intergenic
chr6	chr6_45502088	intergenic
chr6	chr6_45503443	intergenic
chr6	chr6_45509318	intergenic
chr6	chr6_45510776	intergenic
chr6	chr6_45512631	intergenic
chr6	chr6_45517598	intergenic
chr6	chr6_45518576	intergenic
chr6	chr6_45527807	intergenic
chr6	chr6_45532797	intergenic
chr6	chr6_45539446	intergenic
chr6	chr6_45539831	intergenic
chr6	chr6_45541196	intergenic
chr6	chr6_45545854	intergenic
chr6	chr6_45546096	intergenic
chr6	chr6_45549287	intergenic
chr6	chr6_45551237	intergenic
chr6	chr6_45552537	intergenic
chr6	chr6_45558072	intergenic
chr6	chr6_45558620	intergenic
chr6	chr6_45571280	intergenic
chr6	chr6_45574161	intergenic
chr6	chr6_45576351	intergenic
chr6	chr6_45577126	intergenic
chr6	chr6_45579558	intergenic
chr6	chr6_45581327	intergenic
chr6	chr6_45581388	intergenic
chr6	chr6_45582886	intergenic
chr6	chr6_45585625	intergenic
chr6	chr6_45585677	intergenic
chr6	chr6_45593458	intergenic
chr6	chr6_45598997	intergenic
